tweetTextLen,numItemWords,questionSymbol,exclamSymbol,externLinkPresent,numberNouns,happyEmo,sadEmo,containFirstPron,containSecPron,containThirdPron,numUpperCase,positiveWords,negativeWords,numMentions,numHashtags,numUrls,rtCount,slangWords,colonSymbol,pleasePresent,WotValue,numQuesSymbol,numExclamSymbol,readabilityValue,Indegree,Harmonic,AlexaCountry,AlexaDelta,AlexaPopularity,AlexaReach,class,event
48,4,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,1,1,1,1,2,0,FALSE,FALSE,0,0,0,34.59,0,0,0,0,0,0,fake,sandy
87,11,FALSE,TRUE,FALSE,4,FALSE,FALSE,TRUE,FALSE,FALSE,3,0,0,1,1,1,24,0,TRUE,FALSE,0,0,1,86.705,0,0,0,0,0,0,fake,sandy
96,12,TRUE,TRUE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,1,0,3,1,0,1,FALSE,FALSE,0,1,5,113.1,0,0,0,0,0,0,fake,sandy
116,17,FALSE,FALSE,FALSE,6,FALSE,FALSE,FALSE,FALSE,FALSE,6,1,1,1,0,1,10,0,FALSE,FALSE,0,0,0,68.819,0,0,0,0,0,0,fake,sandy
64,7,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,1,0,1,1,0,0,FALSE,FALSE,0,0,0,63.805,0,0,0,0,0,0,fake,sandy
76,8,FALSE,FALSE,FALSE,2,FALSE,FALSE,TRUE,FALSE,FALSE,2,0,0,1,2,1,1,0,FALSE,FALSE,0,0,0,73.845,0,0,0,0,0,0,fake,sandy
77,9,TRUE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,1,1,1,3,3,FALSE,FALSE,0,1,0,82.39,0,0,0,0,0,0,fake,sandy
62,6,FALSE,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,0,2,1,0,0,FALSE,FALSE,0,0,1,97.025,0,0,0,0,0,0,fake,sandy
116,13,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,0,9,1,0,0,FALSE,FALSE,0,0,0,97.025,0,0,0,0,0,0,fake,sandy
100,12,FALSE,TRUE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,1,2,1,1,40,1,TRUE,FALSE,0,0,1,93.472,0,0,0,0,0,0,fake,sandy
97,12,FALSE,TRUE,FALSE,4,FALSE,FALSE,TRUE,FALSE,FALSE,1,2,1,1,8,1,3,0,FALSE,FALSE,0,0,1,97.025,0,0,0,0,0,0,fake,sandy
130,10,FALSE,TRUE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,1,3,1,1,1,FALSE,FALSE,0,0,1,78.873,0,0,0,0,0,0,fake,sandy
105,14,FALSE,TRUE,FALSE,6,FALSE,FALSE,FALSE,FALSE,FALSE,4,3,0,3,1,1,9,1,FALSE,FALSE,0,0,1,87.997,0,0,0,0,0,0,fake,sandy
88,11,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,0,1,1,1,5,0,FALSE,FALSE,0,0,0,64.925,0,0,0,0,0,0,fake,sandy
87,10,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,1,2,1,1,0,FALSE,FALSE,0,0,0,113.1,0,0,0,0,0,0,fake,sandy
78,10,FALSE,TRUE,FALSE,3,FALSE,FALSE,FALSE,TRUE,FALSE,3,0,1,1,1,1,8,1,FALSE,FALSE,0,0,1,94.3,0,0,0,0,0,0,fake,sandy
98,14,FALSE,TRUE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,1,0,2,1,0,1,FALSE,FALSE,0,0,7,103.005,0,0,0,0,0,0,fake,sandy
89,12,FALSE,FALSE,TRUE,4,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,2,2,2,1,0,2,TRUE,FALSE,69,0,0,94.3,302389,302389,302389,302389,302389,302389,fake,sandy
90,11,FALSE,FALSE,FALSE,2,FALSE,FALSE,TRUE,FALSE,FALSE,3,0,0,1,1,1,2,1,FALSE,FALSE,0,0,0,78.245,0,0,0,0,0,0,fake,sandy
126,18,FALSE,FALSE,FALSE,8,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,1,1,2,1,0,0,TRUE,FALSE,0,0,0,90.09,0,0,0,0,0,0,fake,sandy
66,6,FALSE,TRUE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,1,1,2,1,1,0,FALSE,FALSE,0,0,1,97.025,0,0,0,0,0,0,fake,sandy
96,12,FALSE,TRUE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,2,2,0,0,2,1,0,0,FALSE,FALSE,0,0,1,74.86,0,0,0,0,0,0,fake,sandy
38,4,FALSE,FALSE,FALSE,0,FALSE,FALSE,0,0,0,0,0,0,1,1,1,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,fake,sandy
122,15,FALSE,FALSE,FALSE,8,FALSE,FALSE,FALSE,FALSE,FALSE,7,0,0,2,1,1,0,1,TRUE,FALSE,0,0,0,81.855,0,0,0,0,0,0,fake,sandy
111,14,FALSE,FALSE,FALSE,8,FALSE,FALSE,FALSE,FALSE,FALSE,7,1,0,2,1,1,0,2,TRUE,FALSE,0,0,0,87.997,0,0,0,0,0,0,fake,sandy
116,15,FALSE,TRUE,FALSE,9,FALSE,FALSE,FALSE,FALSE,FALSE,5,2,0,2,2,1,0,0,TRUE,FALSE,0,0,2,104.075,0,0,0,0,0,0,fake,sandy
128,22,FALSE,FALSE,FALSE,6,FALSE,FALSE,FALSE,FALSE,TRUE,5,0,0,0,1,1,0,2,FALSE,FALSE,0,0,0,80.777,0,0,0,0,0,0,fake,sandy
85,11,FALSE,TRUE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,0,2,1,0,0,FALSE,FALSE,0,0,2,80.068,0,0,0,0,0,0,fake,sandy
69,9,FALSE,TRUE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,0,0,1,1,0,1,FALSE,FALSE,0,0,1,84.9,0,0,0,0,0,0,fake,sandy
82,9,TRUE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,1,2,1,1,0,1,TRUE,FALSE,0,1,0,66.787,0,0,0,0,0,0,fake,sandy
136,16,FALSE,TRUE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,6,0,1,2,2,1,0,2,TRUE,FALSE,0,0,3,81.855,0,0,0,0,0,0,fake,sandy
148,15,TRUE,FALSE,FALSE,2,FALSE,FALSE,TRUE,TRUE,FALSE,3,0,1,1,3,1,0,1,TRUE,FALSE,0,1,0,102.532,0,0,0,0,0,0,fake,sandy
129,21,FALSE,FALSE,FALSE,8,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,0,7,1,0,1,FALSE,FALSE,0,0,0,101.37,0,0,0,0,0,0,fake,sandy
133,15,FALSE,TRUE,FALSE,10,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,0,3,2,1,0,1,TRUE,FALSE,0,0,2,61.268,0,0,0,0,0,0,fake,sandy
72,14,FALSE,FALSE,FALSE,7,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,0,0,1,1,0,0,TRUE,FALSE,0,0,0,78.873,0,0,0,0,0,0,fake,sandy
111,11,TRUE,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,1,0,4,1,0,2,FALSE,FALSE,0,1,0,103.044,0,0,0,0,0,0,fake,sandy
92,8,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,0,1,5,1,3,0,FALSE,FALSE,0,0,0,62.79,0,0,0,0,0,0,fake,sandy
102,14,FALSE,TRUE,FALSE,6,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1,1,1,1,0,0,TRUE,FALSE,0,0,2,97.001,0,0,0,0,0,0,fake,sandy
140,19,FALSE,FALSE,FALSE,8,FALSE,FALSE,FALSE,FALSE,FALSE,5,1,1,2,2,1,0,0,TRUE,FALSE,0,0,0,108.983,0,0,0,0,0,0,fake,sandy
73,8,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,0,1,1,1,0,1,TRUE,FALSE,0,0,0,102.045,0,0,0,0,0,0,fake,sandy
81,10,FALSE,FALSE,FALSE,6,FALSE,FALSE,TRUE,FALSE,FALSE,5,0,0,1,1,1,1,2,FALSE,FALSE,0,0,0,66.1,0,0,0,0,0,0,fake,sandy
127,17,FALSE,FALSE,FALSE,7,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,0,2,1,1,11,0,FALSE,FALSE,0,0,0,78.81,0,0,0,0,0,0,fake,sandy
80,9,FALSE,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,1,2,1,1,0,1,TRUE,FALSE,0,0,0,87.945,0,0,0,0,0,0,fake,sandy
116,15,FALSE,FALSE,TRUE,7,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,2,3,2,1,0,1,TRUE,FALSE,69,0,0,95.165,302389,302389,302389,302389,302389,302389,fake,sandy
140,18,FALSE,FALSE,FALSE,6,FALSE,FALSE,FALSE,FALSE,FALSE,6,0,2,1,1,1,0,0,TRUE,FALSE,0,0,0,60.192,0,0,0,0,0,0,fake,sandy
75,8,TRUE,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,4,1,0,1,FALSE,FALSE,0,1,0,118.175,0,0,0,0,0,0,fake,sandy
88,7,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,0,0,4,1,0,0,FALSE,FALSE,0,0,0,62.79,0,0,0,0,0,0,fake,sandy
88,10,TRUE,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,0,1,1,0,3,FALSE,FALSE,0,2,0,103.379,0,0,0,0,0,0,fake,sandy
59,8,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,0,0,1,1,0,3,FALSE,FALSE,0,0,0,103.044,0,0,0,0,0,0,fake,sandy
111,16,FALSE,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,2,0,3,1,0,2,FALSE,FALSE,0,0,0,96.114,0,0,0,0,0,0,fake,sandy
130,16,TRUE,TRUE,FALSE,6,FALSE,FALSE,TRUE,FALSE,FALSE,12,0,0,2,2,1,0,0,TRUE,FALSE,0,2,2,53.655,0,0,0,0,0,0,fake,sandy
68,9,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,3,0,1,1,0,1,FALSE,FALSE,0,0,0,103.54,0,0,0,0,0,0,fake,sandy
90,10,FALSE,TRUE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,0,2,1,1,1,0,TRUE,FALSE,0,0,1,86.45,0,0,0,0,0,0,fake,sandy
85,11,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,5,0,0,0,2,1,0,1,FALSE,FALSE,0,0,0,103.54,0,0,0,0,0,0,fake,sandy
97,11,TRUE,TRUE,FALSE,6,FALSE,FALSE,FALSE,FALSE,FALSE,5,0,0,0,3,1,0,0,FALSE,FALSE,0,1,1,50.665,0,0,0,0,0,0,fake,sandy
105,12,FALSE,TRUE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,0,1,3,1,0,1,FALSE,FALSE,0,0,1,103.625,0,0,0,0,0,0,fake,sandy
79,11,TRUE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,1,1,1,1,0,0,FALSE,FALSE,0,1,0,86.705,0,0,0,0,0,0,fake,sandy
127,18,FALSE,TRUE,FALSE,3,FALSE,FALSE,FALSE,TRUE,FALSE,3,1,1,0,4,1,0,2,FALSE,FALSE,0,0,1,89.896,0,0,0,0,0,0,fake,sandy
126,16,TRUE,FALSE,FALSE,8,FALSE,FALSE,FALSE,FALSE,FALSE,5,1,0,2,2,1,0,2,TRUE,FALSE,0,1,0,67.755,0,0,0,0,0,0,fake,sandy
130,19,TRUE,TRUE,FALSE,7,FALSE,FALSE,FALSE,TRUE,TRUE,8,0,1,2,1,1,0,1,TRUE,FALSE,0,2,1,98.253,0,0,0,0,0,0,fake,sandy
88,14,FALSE,FALSE,FALSE,4,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,0,1,2,1,0,2,FALSE,FALSE,0,0,0,96.025,0,0,0,0,0,0,fake,sandy
102,13,FALSE,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,3,0,3,1,0,1,FALSE,FALSE,0,0,0,44.405,0,0,0,0,0,0,fake,sandy
98,10,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,2,3,3,1,2,0,TRUE,FALSE,0,0,0,75.875,0,0,0,0,0,0,fake,sandy
116,15,FALSE,TRUE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,7,0,2,2,1,1,0,2,TRUE,FALSE,0,0,2,95.165,0,0,0,0,0,0,fake,sandy
57,7,TRUE,FALSE,FALSE,2,FALSE,TRUE,FALSE,FALSE,FALSE,4,0,0,0,1,1,0,0,TRUE,FALSE,0,1,0,102.045,0,0,0,0,0,0,fake,sandy
134,21,FALSE,FALSE,FALSE,6,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,1,1,1,1,0,1,TRUE,FALSE,0,0,0,94.045,0,0,0,0,0,0,fake,sandy
83,12,FALSE,FALSE,FALSE,7,FALSE,FALSE,FALSE,FALSE,FALSE,51,0,1,1,0,1,1,0,FALSE,FALSE,0,0,0,67.755,0,0,0,0,0,0,fake,sandy
143,19,FALSE,TRUE,FALSE,7,FALSE,FALSE,FALSE,FALSE,FALSE,7,1,1,0,2,1,0,0,FALSE,FALSE,0,0,1,81.424,0,0,0,0,0,0,fake,sandy
73,11,FALSE,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,2,1,1,1,0,1,FALSE,FALSE,0,0,0,95.165,0,0,0,0,0,0,fake,sandy
74,10,FALSE,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,2,1,0,0,FALSE,FALSE,0,0,0,103.54,0,0,0,0,0,0,fake,sandy
139,21,FALSE,FALSE,FALSE,6,FALSE,FALSE,FALSE,FALSE,FALSE,11,0,2,1,2,1,0,1,TRUE,FALSE,0,0,0,75.121,0,0,0,0,0,0,fake,sandy
100,13,TRUE,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,4,2,0,1,1,1,0,0,TRUE,FALSE,0,1,0,80.059,0,0,0,0,0,0,fake,sandy
88,10,TRUE,TRUE,FALSE,7,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,0,1,1,1,0,0,TRUE,FALSE,0,1,2,107.6,0,0,0,0,0,0,fake,sandy
65,6,TRUE,TRUE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,1,2,1,0,1,FALSE,FALSE,0,1,1,118.175,0,0,0,0,0,0,fake,sandy
