numFriends,numFollowers,followerFriendRatio,timesListed,hasUrlCheck,verifiedUser,numTweets,bioCheck,locationCheck,existingLocationCheck,wotTrustValue,mediaContent,accountAge,profileImgCheck,headerImgCheck,tweetRatio,Indegree,Harmonic,alexaCountryRank,alexaDeltaRank,alexaPopularity,alexaReachRank,class,event
193,19,0.098445594,0,FALSE,FALSE,77,TRUE,TRUE,TRUE,0,0,1408358894,FALSE,FALSE,0.22237512,0,0,0,0,0,0,fake,ColumbianChemicals
194,23,0.1185567,0,FALSE,FALSE,84,TRUE,TRUE,TRUE,0,0,1402420630,FALSE,TRUE,0.20241371,0,0,0,0,0,0,fake,ColumbianChemicals
211,96,0.4549763,0,FALSE,FALSE,99,TRUE,TRUE,TRUE,0,0,1387650104,FALSE,TRUE,0.16895732,0,0,0,0,0,0,fake,ColumbianChemicals
234,93,0.3974359,0,FALSE,FALSE,58,TRUE,TRUE,TRUE,0,0,1375698772,FALSE,TRUE,0.080080375,0,0,0,0,0,0,fake,ColumbianChemicals
236,81,0.34322035,0,FALSE,FALSE,124,TRUE,TRUE,TRUE,0,0,1387928910,FALSE,TRUE,0.21279523,0,0,0,0,0,0,fake,ColumbianChemicals
201,19,0.094527364,0,FALSE,FALSE,181,TRUE,TRUE,TRUE,0,0,1401514255,FALSE,TRUE,0.4253999,0,0,0,0,0,0,fake,ColumbianChemicals
218,125,0.5733945,0,FALSE,FALSE,51,TRUE,TRUE,TRUE,0,0,1375706935,FALSE,TRUE,0.07042469,0,0,0,0,0,0,fake,ColumbianChemicals
303,125,0.41254124,0,FALSE,FALSE,40,TRUE,TRUE,TRUE,0,0,1380955120,FALSE,TRUE,0.060292274,0,0,0,0,0,0,fake,ColumbianChemicals
209,108,0.5167464,0,FALSE,FALSE,73,TRUE,TRUE,TRUE,0,0,1387646772,FALSE,FALSE,0.124576524,0,0,0,0,0,0,fake,ColumbianChemicals
234,93,0.3974359,0,FALSE,FALSE,55,TRUE,TRUE,TRUE,0,0,1375698772,FALSE,TRUE,0.0759383,0,0,0,0,0,0,fake,ColumbianChemicals
236,104,0.44067797,0,FALSE,FALSE,32,TRUE,TRUE,TRUE,0,0,1386792084,FALSE,TRUE,0.05370232,0,0,0,0,0,0,fake,ColumbianChemicals
241,84,0.34854773,0,FALSE,FALSE,36,TRUE,TRUE,TRUE,0,10,1377826662,FALSE,TRUE,0.051454756,0,0,0,0,0,0,fake,ColumbianChemicals
231,95,0.41125542,0,FALSE,FALSE,70,TRUE,TRUE,TRUE,0,0,1386350019,FALSE,TRUE,0.116473734,0,0,0,0,0,0,fake,ColumbianChemicals
211,81,0.38388625,0,FALSE,FALSE,85,TRUE,TRUE,TRUE,0,0,1387452687,FALSE,TRUE,0.14450094,0,0,0,0,0,0,fake,ColumbianChemicals
199,8,0.040201005,0,FALSE,FALSE,87,TRUE,TRUE,TRUE,0,0,1408341794,FALSE,TRUE,0.25111172,0,0,0,0,0,0,fake,ColumbianChemicals
204,89,0.4362745,0,FALSE,FALSE,92,TRUE,TRUE,TRUE,0,0,1380385086,FALSE,TRUE,0.1373068,0,0,0,0,0,0,fake,ColumbianChemicals
218,78,0.35779816,0,FALSE,FALSE,124,TRUE,TRUE,TRUE,0,0,1387080561,FALSE,FALSE,0.20926924,0,0,0,0,0,0,fake,ColumbianChemicals
226,129,0.5707965,0,FALSE,FALSE,99,TRUE,TRUE,TRUE,0,6,1377726025,FALSE,TRUE,0.14126547,0,0,0,0,0,0,fake,ColumbianChemicals
271,32,0.11808118,0,FALSE,FALSE,107,TRUE,TRUE,TRUE,0,0,1403204373,FALSE,TRUE,0.26359886,0,0,0,0,0,0,fake,ColumbianChemicals
236,104,0.44067797,0,FALSE,FALSE,35,TRUE,TRUE,TRUE,0,0,1386792084,FALSE,TRUE,0.05873697,0,0,0,0,0,0,fake,ColumbianChemicals
205,114,0.55609757,0,FALSE,FALSE,154,TRUE,TRUE,TRUE,0,0,1399316089,FALSE,TRUE,0.34152168,0,0,0,0,0,0,fake,ColumbianChemicals
237,115,0.48523206,0,FALSE,FALSE,118,TRUE,TRUE,TRUE,0,0,1385104687,FALSE,TRUE,0.19174306,0,0,0,0,0,0,fake,ColumbianChemicals
229,27,0.11790393,0,FALSE,FALSE,78,TRUE,TRUE,TRUE,0,0,1399728014,FALSE,TRUE,0.17482698,0,0,0,0,0,0,fake,ColumbianChemicals
201,90,0.4477612,0,FALSE,FALSE,97,TRUE,TRUE,TRUE,0,0,1384100124,FALSE,TRUE,0.15469663,0,0,0,0,0,0,fake,ColumbianChemicals
224,83,0.3705357,0,FALSE,FALSE,56,TRUE,TRUE,FALSE,0,0,1399658065,FALSE,TRUE,0.12528948,0,0,0,0,0,0,fake,ColumbianChemicals
201,21,0.104477614,0,FALSE,FALSE,71,TRUE,TRUE,TRUE,0,0,1401745647,FALSE,TRUE,0.16792688,0,0,0,0,0,0,fake,ColumbianChemicals
236,104,0.44067797,0,FALSE,FALSE,49,TRUE,TRUE,TRUE,0,0,1386792084,FALSE,TRUE,0.08223178,0,0,0,0,0,0,fake,ColumbianChemicals
208,94,0.45192307,0,FALSE,FALSE,110,TRUE,TRUE,TRUE,0,0,1387592174,FALSE,TRUE,0.18751608,0,0,0,0,0,0,fake,ColumbianChemicals
253,103,0.40711462,0,FALSE,FALSE,84,TRUE,TRUE,TRUE,0,0,1388421300,FALSE,TRUE,0.14557554,0,0,0,0,0,0,fake,ColumbianChemicals
201,19,0.094527364,0,FALSE,FALSE,147,TRUE,TRUE,TRUE,0,0,1401514255,FALSE,TRUE,0.34549123,0,0,0,0,0,0,fake,ColumbianChemicals
204,20,0.09803922,0,FALSE,FALSE,71,TRUE,TRUE,TRUE,0,0,1403208343,FALSE,TRUE,0.17493129,0,0,0,0,0,0,fake,ColumbianChemicals
203,13,0.06403941,0,FALSE,FALSE,84,TRUE,TRUE,FALSE,0,0,1406079669,FALSE,TRUE,0.22541824,0,0,0,0,0,0,fake,ColumbianChemicals
183,16,0.08743169,0,FALSE,FALSE,70,TRUE,TRUE,TRUE,0,0,1408949430,FALSE,TRUE,0.20623066,0,0,0,0,0,0,fake,ColumbianChemicals
279,159,0.56989247,0,FALSE,FALSE,76,TRUE,FALSE,FALSE,0,0,1377641506,FALSE,TRUE,0.10829511,0,0,0,0,0,0,fake,ColumbianChemicals
224,83,0.3705357,0,FALSE,FALSE,67,TRUE,TRUE,FALSE,0,0,1399658065,FALSE,TRUE,0.14989997,0,0,0,0,0,0,fake,ColumbianChemicals
204,73,0.35784313,0,FALSE,FALSE,43,TRUE,TRUE,TRUE,0,0,1377716469,FALSE,TRUE,0.06134809,0,0,0,0,0,0,fake,ColumbianChemicals
